dateObj	itemsObj	Nodes	JSHeapUsedSize	totalMessagesMiniMongo
11-11-2019 20:38:45	0	5981	26156400	0
11-11-2019 20:39:45	73	6936	24085312	73
11-11-2019 20:40:45	128	8416	30398712	144
11-11-2019 20:41:45	169	9114	26619680	185
11-11-2019 20:42:45	206	9723	27088736	222
11-11-2019 20:43:45	242	10579	34382928	258
11-11-2019 20:44:45	276	11217	32693176	292
11-11-2019 20:45:45	310	11971	35734136	326
11-11-2019 20:46:45	343	12516	32125424	359
11-11-2019 20:47:45	374	13105	42958840	390
11-11-2019 20:48:50	405	13711	26216800	421
11-11-2019 20:49:50	436	14404	39834160	452
11-11-2019 20:50:50	461	14860	30010000	479
11-11-2019 20:51:50	496	15615	44109024	516
11-11-2019 20:52:50	518	16125	38233520	538
11-11-2019 20:53:50	543	16684	56669896	563
11-11-2019 20:54:50	567	17011	29538800	587
11-11-2019 20:55:50	592	17528	42945976	612
11-11-2019 20:56:50	614	17957	50042064	634
11-11-2019 20:57:55	634	18538	66526200	654
11-11-2019 20:58:55	656	18839	42965264	676
11-11-2019 20:59:55	681	19345	62335104	701
11-11-2019 21:00:55	700	19911	94310328	721
11-11-2019 21:02:00	720	20195	68519920	741
11-11-2019 21:03:00	739	20565	56650344	760
11-11-2019 21:04:00	750	20788	69271552	771
11-11-2019 21:05:00	771	21936	88255336	807
11-11-2019 21:06:00	771	21160	37235632	807
11-11-2019 21:07:00	771	21128	37524432	807
