dateObj	domDurationObj	miniMongoDurationObj	totalMsgsObj	Nodes	JSHeapUsedSize
18/11/2019 03:17:44	0.003	0	1	6137	28784080
18/11/2019 03:18:44	0.001	0	12	6189	30463704
18/11/2019 03:19:44	0.002	0	12	6189	29151600
18/11/2019 03:20:44	0.276	0	12	6172	41890888
18/11/2019 03:21:45	0.152	0	12	5991	37817080
18/11/2019 03:22:45	0.003	0	12	6092	36672064
18/11/2019 03:23:45	0.056	0	12	6043	36978456
18/11/2019 03:24:45	0.003	0	12	7216	90861888
18/11/2019 03:25:45	0.287	0	11	6637	75605632
18/11/2019 03:26:46	0.152	0	12	7571	112106888
18/11/2019 03:27:46	0.076	0	12	6103	53711936
18/11/2019 03:28:46	0.003	0	12	7193	113654928
18/11/2019 03:29:46	0.003	0	12	6306	67216616
18/11/2019 03:30:46	0.001	0	12	6207	64266152
18/11/2019 03:31:46	0.045	0	12	6623	102264504
18/11/2019 03:32:46	0.001	0	12	7065	121572760
18/11/2019 03:33:46	0.004	0	12	6209	70120016
18/11/2019 03:34:46	0.002	0	12	6040	58150040
18/11/2019 03:35:46	0.006	0	12	5966	50292928
18/11/2019 03:36:46	0.004	0	12	6327	85298976
18/11/2019 03:37:46	0.003	0	12	6122	67343144
18/11/2019 03:38:47	0.348	0	12	5914	48879288
18/11/2019 03:39:47	0.001	0	13	5874	82172064
18/11/2019 03:40:47	0.001	0	13	5873	78736432
18/11/2019 03:41:47	0.001	0	13	5881	102636752
18/11/2019 03:42:47	0.24	0	13	5871	48560088
18/11/2019 03:43:47	0.002	0	13	5876	66215112
18/11/2019 03:44:47	0.002	0	13	5888	116017184
