dateObj	totalMsgsMiniMongoObj	totalMsgsDomObj	JSHeapUsedSize	totalDomNodes
21/11/2019 03:13:24	0	0	22017872	901
21/11/2019 03:14:28	85	85	24779680	11937
21/11/2019 03:15:33	185	185	29174736	14131
21/11/2019 03:16:39	285	285	34398504	11053
21/11/2019 03:17:45	385	385	49306216	21758
21/11/2019 03:18:53	485	485	43067952	15068
21/11/2019 03:20:01	580	580	42655320	17403
21/11/2019 03:21:10	680	680	63199992	23981
21/11/2019 03:22:21	775	775	60834704	21314
21/11/2019 03:23:33	872	872	62797208	27229
21/11/2019 03:24:46	964	964	65313888	24637
21/11/2019 03:26:01	1056	1056	53187920	26450
21/11/2019 03:27:17	1146	1147	64857544	28305
