dateObj	totalMsgsMiniMongoObj	totalMsgsDomObj	JSHeapUsedSize	totalDomNodes
24/11/2019 03:01:59	1	1	25933544	6100
24/11/2019 03:02:59	97	11	39566032	6251
24/11/2019 03:04:00	199	12	32334792	6110
24/11/2019 03:05:00	293	12	38132448	6318
24/11/2019 03:06:00	377	12	35637024	6000
24/11/2019 03:07:00	468	11	80741688	7237
24/11/2019 03:08:00	547	12	29471864	5870
24/11/2019 03:09:01	630	11	52605936	6236
24/11/2019 03:10:01	707	12	115637272	7362
24/11/2019 03:11:02	772	11	51562456	6151
24/11/2019 03:12:02	842	11	117649144	7219
24/11/2019 03:13:04	903	11	110389448	6971
24/11/2019 03:14:04	974	13	90279288	5883
24/11/2019 03:15:04	1031	13	90946888	5825
24/11/2019 03:16:05	1089	13	56807912	5842
24/11/2019 03:17:05	1147	13	96505176	5849
24/11/2019 03:18:06	1198	13	92101640	5821
24/11/2019 03:19:07	1245	13	101083976	5824
24/11/2019 03:20:08	1294	13	103177048	5824
24/11/2019 03:21:08	1340	13	106088056	5824
24/11/2019 03:22:09	1392	13	75957864	5818
24/11/2019 03:23:09	1439	13	78396440	5844
24/11/2019 03:24:09	1488	13	70370800	5843
24/11/2019 03:25:09	1532	13	64976056	5842
24/11/2019 03:26:09	1575	13	64826752	5841
24/11/2019 03:27:10	1616	13	71143904	5841
24/11/2019 03:28:11	1664	13	44578440	5882
24/11/2019 03:29:12	1709	13	44835640	5849
24/11/2019 03:30:13	1752	13	80708312	5842
24/11/2019 03:31:15	1792	13	74828272	5815
24/11/2019 03:32:15	1829	13	56308912	5814
24/11/2019 03:33:16	1870	13	69450344	5840
24/11/2019 03:34:19	1920	13	58662920	5881
24/11/2019 03:35:20	1962	13	55213784	5813
24/11/2019 03:36:24	2012	13	99890664	5818
24/11/2019 03:37:25	2055	13	54903560	5850
24/11/2019 03:38:26	2091	13	113393176	5846
24/11/2019 03:39:28	2135	13	121311392	5846
24/11/2019 03:40:28	2183	13	42351520	5819
24/11/2019 03:41:29	2215	13	117141792	5820
24/11/2019 03:42:29	2265	13	136349584	5848
24/11/2019 03:43:32	2303	13	142085568	5822
24/11/2019 03:44:34	2344	13	143766448	5822
24/11/2019 03:45:36	2382	13	148414128	5822
24/11/2019 03:46:37	2421	13	135624176	5821
24/11/2019 03:47:40	2451	13	144231520	5846
24/11/2019 03:48:41	2487	13	126314320	5820
24/11/2019 03:49:43	2528	13	113165472	5818
24/11/2019 03:50:45	2563	13	160147120	5849
24/11/2019 03:51:52	2596	13	69130288	5813
24/11/2019 03:52:54	2635	13	49266032	5849
24/11/2019 03:53:55	2676	13	50674760	5875
24/11/2019 03:54:56	2705	13	136761920	5846
24/11/2019 03:55:58	2749	13	132293840	5873
24/11/2019 03:57:00	2777	13	70121592	5884
24/11/2019 03:58:03	2801	13	164567080	5821
24/11/2019 03:59:06	2842	13	166564600	5848
24/11/2019 04:00:11	2874	13	50354016	5822
24/11/2019 04:01:16	2904	13	54285592	5848
24/11/2019 04:02:18	2926	13	52381080	5875
24/11/2019 04:03:19	2957	13	57468024	5840
24/11/2019 04:04:21	2981	13	60986728	5873
24/11/2019 04:05:21	3004	13	148231200	5820
24/11/2019 04:06:23	3028	13	160563304	5821
24/11/2019 04:07:27	3055	13	127388712	5818
24/11/2019 04:08:29	3079	13	98001800	5841
24/11/2019 04:09:33	3110	13	75731696	5863
24/11/2019 04:10:34	3146	13	117275776	5843
24/11/2019 04:11:37	3184	13	112937208	5844
24/11/2019 04:12:40	3215	13	104713072	5847
24/11/2019 04:13:42	3238	13	62547832	5838
24/11/2019 04:14:44	3266	13	158334904	5846
24/11/2019 04:15:44	3288	13	100828368	5841
24/11/2019 04:16:45	3316	13	57727920	5838
24/11/2019 04:17:47	3338	13	160430720	5845
24/11/2019 04:18:47	3360	13	123612360	5870
24/11/2019 04:19:49	3383	13	96040616	5841
24/11/2019 04:20:50	3407	13	126817200	5816
24/11/2019 04:21:54	3426	13	54040408	5812
24/11/2019 04:22:54	3464	13	150993984	5846
24/11/2019 04:23:56	3508	13	134585528	5843
24/11/2019 04:24:57	3529	13	90976736	5840
24/11/2019 04:25:57	3557	13	52408600	5837
24/11/2019 04:26:58	3582	13	126453632	5816
24/11/2019 04:27:59	3601	13	79906440	5841
24/11/2019 04:29:00	3621	13	169942216	5819
24/11/2019 04:30:04	3668	13	67405360	5844
24/11/2019 04:31:08	3696	13	71523928	5839
24/11/2019 04:32:09	3719	13	169626544	5844
24/11/2019 04:33:12	3738	13	128613456	5842
24/11/2019 04:34:12	3759	13	120242568	5841
24/11/2019 04:35:12	3783	13	86574888	5839
24/11/2019 04:36:16	3820	13	75028352	5820
24/11/2019 04:37:28	3844	13	72546080	5847
24/11/2019 04:38:35	3865	13	77524288	5813
24/11/2019 04:39:37	3884	13	95102792	5814
24/11/2019 04:40:39	3924	13	81214304	5833
24/11/2019 04:41:41	3943	13	159893112	5817
24/11/2019 04:42:43	3988	13	109331504	5814
24/11/2019 04:43:48	4006	13	66532576	5812
24/11/2019 04:44:49	4030	13	75362120	5813
24/11/2019 04:45:52	4051	13	94847344	5814
