dateObj	domDurationObj	totalMsgsMiniMongoObj	totalMsgsObj	Nodes	JSHeapUsedSize
19/11/2019 09:58:05	0,009	8	1	5812	31599632
19/11/2019 09:59:06	0,008	72	11	8225	65901952
19/11/2019 10:00:06	0,002	140	12	6293	33660440
19/11/2019 10:01:06	0,025	207	12	5938	32853968
19/11/2019 10:02:06	0,002	269	12	6123	37111688
19/11/2019 10:03:07	0,067	334	12	6533	61875320
19/11/2019 10:04:07	0,035	399	12	7005	73238400
19/11/2019 10:05:07	0,002	459	12	5943	32798688
19/11/2019 10:06:07	0,001	518	12	7355	99249568
19/11/2019 10:07:07	0,074	578	12	6036	42491616
19/11/2019 10:08:07	0,002	636	12	6143	56434664
19/11/2019 10:09:08	0,086	697	11	7123	116219872
19/11/2019 10:10:08	0,058	753	12	5858	32530240
19/11/2019 10:11:08	0,001	810	12	6508	77143944
19/11/2019 10:12:08	0,153	869	12	6066	48316584
19/11/2019 10:13:08	0,001	924	12	6255	74532648
19/11/2019 10:14:09	0,365	979	11	6482	85480680
19/11/2019 10:15:09	0,001	1032	12	6742	117300536
19/11/2019 10:16:09	0,243	1085	12	6723	121553920
19/11/2019 10:17:09	0,001	1136	12	6359	83070504
19/11/2019 10:18:09	0,001	1186	12	5995	49713616
19/11/2019 10:19:09	0,004	1236	12	6099	61129136
19/11/2019 10:20:09	0,004	1285	12	6141	63058872
19/11/2019 10:21:10	0,078	1335	12	6712	129909816
19/11/2019 10:22:10	0,464	1384	12	6764	139338024
19/11/2019 10:23:10	0,002	1430	12	6118	81624000
19/11/2019 10:24:10	0,001	1477	13	5872	106571536
19/11/2019 10:25:10	0,002	1523	13	5862	37384344
19/11/2019 10:26:11	0,716	1566	13	5869	69707840
19/11/2019 10:27:12	0,696	1607	13	5868	62668592
19/11/2019 10:28:13	0,510	1648	13	5874	84223368
